candidate_id,act,start,end,story_function,screen_evidence,audio_evidence,risk,decision
C01,1,00:30,02:06,동기,브라우저 백룸 이미지,차분한 설명,화면 밋밋-압축,대표
C02,1,03:10,03:45,예열,미확인,사운드 너무 무섭잖아,짧게만,예비
C03,1,10:05,10:55,공포증거,배회+암구역,피크10:30 살려줘,노크 실재 확인,대표
C04,1,12:07,12:40,공포증거(현실),화면 증거 없음,핸드폰 멘트,화면-대사 불일치,예비
C05,1,13:55,14:45,허세,사망 화면 14:06,피크14:07 비명-적응했습니다,조우 직전 경계 미확정,대표
C06,2,18:10,19:30,자각,도주 모션블러,피크18:29 비명-자각,자막 18초 어긋남,대표
C07,2,20:50,21:35,자백,미확인,별거아니네-바들바들,,대표(대사)
C08,2,22:20,24:10,자기설득,미확인,NPC일뿐-무서운건 무서운거지,중간 압축,대표(대사)
C09,2,34:40,37:44,추격코미디,질주+36:40 엔티티근접,피크3개 착하게살게요,엔티티 가시성 낮음,대표(최우선)
C10,2,38:10,39:20,규칙학습,문+창살 관찰,문 닫으면 못들어오네,,대표
C11,2,43:00,43:40,규칙학습,미확인,피크43:33 빼꼼,C10 중복,예비
C12,2,47:15,48:55,시청자개입,채팅 없음,살아있는 공략,자막 연출 필수,대표(대사)
C13,2,50:15,51:10,공포재점화,인간형 엔티티 정면 50:23,피크50:24 비명,,대표(최우선)
C14,3,51:45,52:55,태도전환,사망 화면 51:58,죽여죽여-받아들여,,대표
C15,3,58:20,58:50,코미디,암흑-전원-환한 방,혼자 생쇼,,대표
C16,3,62:35,62:55,적응선언,미확인,무서움 줄기 시작,,대표(대사)
C17,3,65:55,67:45,근성,사망-질주-빛나는 눈,근성게임 선언,반복 압축,대표
C18,3,68:15,68:45,코미디,암전+눈 페어,마피아 게임이구만,,대표
C19,3,72:15,72:35,한계,,여전히 공포감은,문장 보존,대표(대사)
C20,3,74:55,75:20,시청자개입,,졸려님 없었으면,,대표(대사)
C21,3,77:55,78:15,솔직,,끄고 싶습니다,,대표(대사)
C22,3,79:45,82:04,퇴각,지하방 정적,피크79:51 무서워서 아닙니다,화면 밋밋-대사 주도,대표
