"cue_id","srt_start","subtitle_text","decision","used_range","reason"
"26","00:05:14,940","김실버 이게 난입을 할 수 있나봐요 원래는 오 미친 오 와 이거 그거 영화 처음 시작할 때 그 장면 보는 것 같은데 지금 뭐 괴물 만나가지고 도망가는 거","일부 사용","322.43-341.10","난입 설명을 빼고 실제 도입 화면과 영화 같은 추격 반응만 사용"
"27","00:05:47,650","오씨 에어컨 꺼야 되나 여기 박살 돋는 것 같아 지금 뭐에요 아 괴물이 나오진 않네 감사합니다","제외","","에어컨과 괴물 미등장 언급은 도입 설명 기능이 약함"
"28","00:06:05,480","야 여기서 그냥 눈을 뜬다고 아니 길을 모르던데 엑시트가 조금만","제외","","길을 모른다는 문장이 끊기고 뒤 공감 장면과 중복"
"29","00:06:18,241","that thing doesn't want us to escape 우리가 도망가는 걸 원치 않는데 픽스 사다리를 고치래요 사다리를 고쳐서","일부 사용","378.24-389.53","탈출 방해와 사다리 목표까지만 사용"
"30","00:06:31,650","어디로 뭔가 출구로 나가면 된다 이런 얘기 같은데 잠깐만 이거 근데 마우스가 좀","일부 사용","391.70-394.16","출구 목표를 완결하고 마우스 조작 불평은 제거"
"42","00:08:51,300","어 나 격투 한쪽 끝대로 다닐래 그러면 최소한 등뒤는 안 봐도 되잖아 벽을 등지고 다니는","일부 사용","531.30-540.95","벽을 등지고 다닌다는 공포 행동만 사용"
"43","00:09:04,300","나 이거 못할 것 같은데 얘 무서워 뭐 소리 나지 않았어요 방금","일부 사용","544.30-552.90","못하겠다와 소리 확인 반응만 사용"
"44","00:09:13,000","아닌가 아니 1층에서는 뭐 아무것도 안 나와야 되는 거 아니야","제외","","첫 층에는 안 나와야 한다는 추측이 반복 공포에 그침"
"54","00:10:53,749","나 저런 애랑 이제 숨바꼭질 하면서 여기를 깨야 되는 거예요","일부 사용","653.75-657.00","엔티티와 숨바꼭질하는 플레이 구조만 사용"
"55","00:11:00,069","저게 약간 귀신 귀신이라고 하기엔 좀 애매하고 귀신 비슷한 거긴 해요","제외","","귀신인지 애매하다는 우회 설명 제거"
"56","00:11:07,589","그 뭐지 제가 이번에 영화 백룸을 보고 왔거든요","제외","","영화를 봤다는 정보가 도입과 중복"
"57","00:11:12,309","이것도 백룸에서 탈출하는 게임인데","제외","","백룸 탈출 게임이라는 설명이 도입과 중복"
"58","00:11:17,639","이 백룸 안에 있는 엔티티라는 존재입니다 아씨","일부 사용","677.64-681.40","백룸 안의 엔티티라는 정의만 사용"
"59","00:11:28,359","아씨 개무섭네","제외","","단독 공포 감탄은 인접 반응과 중복"
"64","00:11:47,349","아 이건 뭐야 아씨 나 내 그림자 보고 오싹했네 지금","일부 사용","710.56-714.60","그림자를 본 순간과 오싹했다는 완결 반응 사용"
"67","00:12:07,534","나 너무 무서운데 이거 스테이지 1에서 그냥 끝낼 것 같은데요 저","제외","","스테이지 1에서 끝낼 것 같다는 반복 불안"
"68","00:12:13,619","어떡하죠","제외","","단독 질문으로 이야기 정보가 없음"
"80","00:14:40,040","저 사실 개쫄아가지고 제대로 보지도 못했어요 그냥 뛰는 건 좀 아껴놔야 될 것 같은데 아니 사다리를 찾아서 도망가라잖아요 나가라잖아요","제외","","말 사이 긴 정지와 사다리 설명이 섞여 첫 피격 비트의 속도를 떨어뜨림"
"81","00:15:00,801","사다리가 어딨는거야 아니 이게 맵이 다 똑같이 생겨가지고 뭐가 뭔지 구분이 안 가요 지금 아까 맵이랑 또 다른 맵인 것 같은데 아닌가","제외","","맵이 비슷하다는 이동 설명이 길고 화면 변화가 약함"
"82","00:15:15,201","와 개 무섭다 근데 진짜 와 자고 일어났는데 이런 데서 깨어나면 어떤 기분일까","사용","915.15-921.30","시청자 공감 질문이 한 문장으로 완결됨"
"83","00:15:21,770","어 사다리다 어 사다리 사다리 일단 구석에 들어가서","제외","","사다리 획득 동선은 핵심 공감 요소와 무관"
"94","00:17:40,029","나는 클락이다 쟤는 나를 죽이지 않을거야 나는 클락이야 어디까지 돌아다녀야 되나 그만 돌아다니고 게임 끄고 싶은데 지금","일부 사용","1059.75-1066.20","클락 자기암시만 사용하고 돌아다니기 불평은 제거"
"95","00:18:04,520","무서워죽겠는데 아 이거 너무 쫄린다 아 닭살 돋아요 지금","사용","1084.52-1092.52","소름과 긴장을 직접 표현해 다음 비명으로 연결"
"96","00:18:13,529","전자레인지 소리만 어떻게 안되나 아 나 이런 소리 좀 안났으면 좋겠어","사용","1093.53-1101.46","전자레인지 환경음의 첫 콜백"
"99","00:19:06,660","하 하 하 하 하 하 하 하 하 하 하 하 하 하 하 하 하 하 하 하 하 하","제외","","웃음만 이어져 사건 정보와 감정 전환이 불명확"
"106","00:20:34,999","하 하 아니 혼자 하니까 아 밤에 저 지금 불 꺼 놓고 있거든요 제 방에서 불 꺼 놓고 하면 최대한 다시","일부 사용","1235.00-1245.30","밤에 방 불을 끄고 혼자 한다는 상황만 사용"
"107","00:20:45,150","꺼먹게 해놓고 혼자 하고 있는데 개무섭습니다 여러분 채팅 좀 많이 쳐주세요 지금 개무서워요 지금 잠깐만요","일부 사용","1246.12-1250.20","혼자라서 무섭다는 공감 문장까지만 사용"
"128","00:24:14,029","내가 개발자라면 여기까지 진행된 사람이 있잖아요 그러면 그 사람한테는 마지막 출구 근처에 결물을 배치해 놓을겁니다 짜릿하게 와 문 왜 열려있어?","제외","","개발자 배치 추측은 추락 사건을 지연함"
"129","00:24:31,581","나 안열었는데? 아 열쇠를 먹어서 얘가 열려있는거야?","제외","","문이 열린 이유 추측은 추락 화면과 직접 관계가 없음"
"130","00:24:37,979","어? 뭐야 어 뭐야 어?","일부 사용","1477.98-1486.90","문이 열린 뒤 바닥 이상을 감지하는 전조 사용"
"131","00:24:48,499","뭐 어떻게 하는거야 이거? 떨어졌어?","사용","1488.50-1497.42","바닥 추락과 새 공간 확인까지 사건 완결"
"135","00:25:06,249","흐흐흐흐흐 흐흐흐 아 나 빨리 나가고 싶어 화살표 따라가면 되는거야?","제외","","화살표 질문은 추락 결과보다 길 찾기 반복에 가까움"
"136","00:25:22,819","화살표 따라가면 되나?","제외","","화살표 질문 반복"
"137","00:25:31,069","아니 전자레인지 소리좀 어떻게 해주세요","제외","","같은 전자레인지 불평을 한 번 더 반복해 콜백 밀도가 과함"
"138","00:25:40,719","아니 이 화살표 믿어도 되는거야 근데?","제외","","화살표 신뢰 질문 반복"
"142","00:26:16,010","아무것도 없어? 저 원래 공폭게임 이런거 못해요","제외","","일반적 공포 감탄으로 기존 비트와 중복"
"143","00:26:20,259","무서워서","제외","","단독 이유 문장으로 맥락이 약함"
"144","00:26:23,269","어 라이트다 라이트 어떻게 쓰죠 라이트 이렇게?","제외","","라이트 조작 설명은 진행 전환에 불필요"
"145","00:26:32,866","오케이 아 똑똑똑 하지 마세요 어?","제외","","노크 반응은 앞의 현실 공포 비트와 중복"
"155","00:27:28,339","자 들어가 봅시다 여기는 뭔가요?","사용","1648.34-1653.82","다음 공간에 들어가는 선언과 질문"
"156","00:27:38,709","어?","제외","","단독 감탄"
"157","00:27:46,159","이거 뭔데?","사용","1666.16-1668.58","전환 장치를 발견하는 짧은 질문"
"158","00:27:50,879","어 뭐야 열렸어 열렸어?","사용","1670.88-1677.58","문이 열리는 화면 변화와 반응"
"159","00:27:59,324","뭔데?","제외","","단독 질문이 직전 반응과 중복"
"160","00:28:08,469","어 이거 더럽다 거리는거 개무서워","사용","1688.47-1692.06","지하주차장 첫 화면과 공포 반응"
"161","00:28:13,789","아 누구랑 같이 할걸 잠깐만 끝난거야?","제외","","같이 할 걸이라는 불평이 맵 이동 설명을 늦춤"
"162","00:28:17,709","뭐야?","제외","","단독 질문"
"163","00:28:20,589","뭐야? 아 끝난건 아니고? 아몬드물을 통해 정신력을 회복할 수 있습니다 정신력을 모두 잃은 사람은 그 누구도 살아남지 못했습니다 아몬드물?","사용","1700.59-1712.34","새 맵의 아몬드물·정신력 규칙 설명"
"164","00:28:33,349","아 뭐야 이거? 안무서워 안무서워 하나도 안무섭죠?","사용","1713.35-1719.46","규칙 직후의 허세 반응"
"165","00:28:39,709","끼고 다녀야지? 안무섭지만 끼면 끼고 다녀야겠다","제외","","장비 착용 반복 설명"
"166","00:28:52,119","어 잠깐만 심신의 안정을 찾자 야 시커먼 지하주차장 돌아다녀라니까 무섭네","사용","1732.12-1739.34","새 맵 지하주차장의 공포를 명시"
"169","00:29:16,959","이거 돌아다니면서 유튜브에서 본 것 같다 열쇠 찾는거","제외","","유튜브에서 본 열쇠 찾기 설명은 후속 동선과 중복"
"170","00:29:25,109","어 뭐야 열쇠","제외","","열쇠 발견 단독 반응"
"171","00:29:28,079","어 뭐야","제외","","단독 감탄"
"172","00:29:36,869","아 생긴게 달라졌어 아 잠깐만","제외","","외형 변화 감탄만 있어 진행 정보가 부족"
"173","00:29:53,229","무서워","제외","","단독 공포 감탄"
"174","00:29:57,309","저 한 시간만 하고 끌래요 이거 못하겠다 제가 못하겠어요 저 이거 한 시간 하고 꺼야 될 것 같아요 아 개무서워","제외","","한 시간 뒤 끄겠다는 장문은 추격 전개를 늦춤"
"175","00:30:14,780","근데 어쨌든 이게 아까 그 0번째 스테이지에서 했던걸 보면","제외","","이전 스테이지 회상 도입이 뒤 설명과 중복"
"178","00:30:36,349","어쨌든 돌아다니면서 열쇠를 하나씩 먹고 하면 저장은 해 주는 것 같거든요 해 줄 것 같거든요","제외","","열쇠 획득 설명은 화면 행동보다 말이 길게 이어짐"
"179","00:30:46,580","그러니까 막 붙잡히고 하면서도 결국은 계속 돌아다니면서 이 맵에 익숙해지고 하나씩 모으다 보면 클리어는 할 수 있다 뭐 이런 느낌인 것 같아요","제외","","잡히며 맵을 익힌다는 장문 설명은 이후 실제 추격으로 대체"
"180","00:31:10,374","근데 아까 그 아까 스테이지에서 막 전자레인지 소리 나던 그 소리는 안 나서 좋은데","사용","1870.37-1877.06","전자레인지 환경음이 사라졌다는 모티프 회수"
"181","00:31:17,259","여긴 또 여기대로 아 뭐가 자꾸 삐그덕거리는 소리가 나서 무서워","사용","1877.26-1884.86","새 맵의 삐그덕 소리로 공포 요소 전환"
"182","00:31:25,599","누가 삐그덕삐그덕거려요","제외","","삐그덕 질문 반복"
"189","00:32:20,509","쟤가 그 사무실 근처를 막 배회하고 돌아다니나 보다 쫙 끝에 있는데 지금?","일부 사용","1940.51-1948.55","사무실 근처 엔티티 위치 설명까지만 사용"
"190","00:32:29,560","나 봤는데? 나한테 온다 나한테 온다 나한테 와 나한테 와","일부 사용","1949.91-1958.55","발견과 접근 반응을 사용"
"191","00:32:40,549","나한테 오잖아 나한테 오잖아 나 놀랐나?","일부 사용","1960.59-1969.15","반복 후반을 자르고 실제 도주 반응까지만 사용"
