"candidate_id","act","bit_id","source_start","source_end","story_function","frame_asset_ids","screen_evidence","subtitle_evidence","audio_evidence","context_needed","risk","decision"
"V8H01","0","HOOK","4233.74","4611.94","소리·심리·광원 약속","backrooms_20260630_t0004272000_w1024|backrooms_20260630_t0004344000_w1024|backrooms_20260630_t0004605000_w1024","어두운 배관·벽돌 복도·손전등 암부","방향을 알 수 없는 소리→심리 평가→평범한 방인데 불 요청","환경음과 긴장된 음성","세 원본 구간 몽타주","본문 원본 재사용 금지","대표"
"V8C01","1","B01","42.535","60.680","백룸동기","review_C01_sheet","브라우저 백룸 이미지","영화 백룸 시청 뒤 게임이 궁금해짐","차분한 설명","문장 전체","화면 약함","대표(대사)"
"V8C02","1","B02","61.920","115.760","리미널 궁금증·실험 조건","review_C01_sheet","검은 바탕화면과 게임 준비","유튜브 시리즈·리미널 공간 궁금증·혼자 어두운 방","차분→불안","두 문장 블록","설명이 길 수 있음","대표(대사)"
"V8C03","1","B03","314.940","347.600","영화비교","backrooms_20260630_t0000315000_w1024|backrooms_20260630_t0000330000_w1024|backrooms_20260630_t0000342000_w1024","로비→흔들린 추격→노란 레벨","영화 첫 장면 같은 진입","추격 환경음","진입 전체","로비 대기 압축","대표"
"V8C04","1","B04","408.840","445.920","공간관찰","backrooms_20260630_t0000409000_w1024|backrooms_20260630_t0000433000_w1024|backrooms_20260630_t0000446000_w1024","엔티티 없는 긴 노란 복도","큰 공간에 아무도 없다는 사실이 무서움","환경음","공간 크기 확인","오디오 설정 언급 일부","대표"
"V8C05","1","B05","900.801","921.280","반복공간","backrooms_20260630_t0000901000_w1024|backrooms_20260630_t0000910000_w1024","거의 같은 벽지·기둥·갈림길","맵이 다 똑같아 구분 불가","불안 음성","상상 문장까지","화면 변화 작음","대표"
"V8C06","1","B06","1042.724","1101.380","소리작동","backrooms_20260630_t0001043000_w1024|backrooms_20260630_t0001094000_w1024","적이 안 보이는 복도 배회","위치를 알려줄 소리가 없고 전자레인지 같은 소리가 싫음","환경음 핵심","두 원본 블록","청감 확인 필요","대표(오디오)"
"V8C07","2","B07","1106.410","1176.130","영화 거리 붕괴","review_C06_sheet|review_C06_audio|legacy_frames_B05","질주 모션블러→빈 방 소감","영화라서 평온했고 세계 안에서는 불가능","실제 비명 피크","사건→자각","자막 시각 어긋남","대표"
"V8C08","2","B08","1254.450","1294.030","체험증거","review_C07_sheet|review_C07_audio","빈 방과 조작 흔들림","리미널 허세 붕괴·마우스와 몸 떨림","떨리는 음성","문장 전체","얼굴캠 없음","대표(대사)"
"V8C09","2","B09","1329.369","1346.020","공간분석","backrooms_20260630_t0001330000_w1024|backrooms_20260630_t0001340000_w1024","비슷한 기둥·복도","비슷한 구조가 방향감각·공간감각을 흐림","말끝 비명","문장 전체","말끝 절단 금지","대표"
"V8C10","2","B10","2082.000","2249.470","엔티티체험","review_C09_sheet|review_C09_audio","질주·근접 엔티티·막다른 길·숨기","조우→추격→탄원→숨기","비명 피크 3개","사건·결과·반응","길지만 완결 필요","대표"
"V8C11","2","B11","2294.060","2602.220","규칙학습","review_C10_sheet|review_C11_sheet","문·창살·문틈 관찰","문을 닫으면 못 들어오고 빼꼼은 못 봄","불안 음성","두 대표 실험","사이 반복 제거","대표"
"V8C12","3","B12","2665.140","2720.723","중간회고","backrooms_20260630_t0002666000_w1024|backrooms_20260630_t0002682000_w1024|backrooms_20260630_t0002705000_w1024","지하주차장 배회","백룸·모시계단·엔티티·리미널 관심과 실제 느낌 질문","설명 대사","대표 문장 묶음","화면 변화 적음","대표(대사)"
"V8C13","3","B13","3422.890","3524.770","광원작동","backrooms_20260630_t0003423000_w1024|backrooms_20260630_t0003503000_w1024|backrooms_20260630_t0003516000_w1024|backrooms_20260630_t0003528000_w1024","암흑→전원 UI→환한 공간","어두운 공간이 싫고 전원을 켜니 혼자 생쇼","긴장→코미디","전원 전후","탐색 대기 제거","대표"
"V8C14","3","B14","3527.090","3549.940","세계관단서","backrooms_20260630_t0003528000_w1024|backrooms_20260630_t0003545000_w1024","관찰창 너머 노란 백룸","회사 건물 내부에서 백룸을 관찰한 것 같음","추론 대사","문장 전체","게임 설정 추론임을 표시","대표"
"V8C15","3","B15","4271.015","4353.940","반복의한계","backrooms_20260630_t0004272000_w1024|backrooms_20260630_t0004344000_w1024|review_C19_sheet","배관 통로 반복 질주","반복하면 익숙해도 헤맴과 공포는 남음","호흡·긴장","두 문장 블록","HOOK 원본과 경계 분리","대표"
"V8C16","3","B16","4581.940","4603.940","구현비평","backrooms_20260630_t0004582000_w1024|backrooms_20260630_t0004592000_w1024","밝은 벽돌 복도→암부","광원은 좋지만 영화의 기괴한 공간감은 약함","평가 대사","반례 전체","긍정으로 왜곡 금지","대표"
"V8C17","3","B17","4694.190","4735.940","소리재해석","backrooms_20260630_t0004695000_w1024|backrooms_20260630_t0004707000_w1024|backrooms_20260630_t0004735000_w1024","문·작업실·배전반 이동","무서운 효과음으로 알았던 소리가 진행 신호","장치음 설명","발견 문장 전체","열린 장소 특정 불가","대표(대사+장치)"
"V8C18","3","B18","4790.340","4923.940","퇴장","review_C22_sheet|review_C22_audio","정적 지하 공간","무서워서 끝내는 건 아니라는 부정→종료→긴장 자백","오디오 아이러니","세 종료 블록","중간 협동 설명 제거","대표"
