"decision_id","sequence","target","action","before","after","reason","evidence"
"V9_01","CAL_A","v8 훅","remove","28.3초 소리·심리·빛 설명 세 문장","전부 제외","논지 나열보다 사건의 감정 피크를 먼저 준다","v8 HOOK_01~03"
"V9_02","CAL_A","v7 조우","keep","12.9초 조우·비명·사망","하나의 훅 미니 사건","발견부터 결과까지 즉시 이해된다","3022.900~3035.800"
"V9_03","CAL_A","초반 설명","compress","동기·리미널 설명·환경 설정 약 74초","동기와 체험 조건 18.606초","중복 설명을 버리고 실제 진입을 31.506초로 당긴다","42.535~53.240; 117.419~125.320"
"V9_04","CAL_A","초반 발화 화면","cutaway","발화와 저정보 플레이 화면을 함께 보존","발화 오디오는 연속, V2 화면은 약 3초마다 전환","문장을 자르지 않으면서 시각 정보량을 높인다","A_V2_* 6컷"
"V9_05","CAL_B","v8 B10","compress","120.531초 장기 추격","발견·도주·막힘·탄원·결과 약 74초","반복 달리기와 반복 탄원을 문장 단위로 제거한다","2082.861~2275.940 선별"
"V9_06","CAL_B","공포 직후 리액션","keep","분석 논지 우선으로 코미디 약화","웃음·아몬드워터·자기격려 보존","김실버의 공포→붕괴→회복 캐릭터를 되살린다","2239.739~2275.940 선별"
"V9_07","CAL_B","반복 달리기","remove","2102.485~2115.740 재확인","전부 제외","같은 상태를 반복하고 새 사건이 없다","SRT·v8 B10"
"V9_08","CAL_B","반복 거리 설명","remove","2182.380~2193.067","전부 제외","막다른길 사건을 늦춘다","SRT·v8 B10"
"V9_09","CAL_B","반복 탄원","remove","2225.941~2233.940","전부 제외","탄원 피크 이후 같은 감정이 반복된다","SRT·v8 B10"
"V9_10","CAL_C","v8 B12","compress","주차장 화면의 백룸·리미널 설명 49.676초","관심→게임 체험 16.683초","백룸 팬과 관련된 정보는 남기되 강의처럼 늘어놓지 않는다","2673.540~2720.723 선별"
"V9_11","CAL_C","B12 주차장 화면","cutaway","관련 없는 주차장 화면","빈 공간·반복 복도·관찰창 V2","주제를 말로만 주입하지 않고 화면으로 증명한다","C_V2_* 4컷"
"V9_12","CAL_C","v8 B14 관찰시설 논지","remove","회사·관찰시설 추정","음성 논지 제외","근거가 약한 별도 세계관 논지를 제거한다","3527.090~3549.940; 관찰창은 무음 화면만 사용"
"V9_13","CAL_C","v8 B17 소리장치 논지","remove","진행 신호 재해석","전체 제외","공간 기대와 빛의 공포라는 중심 논지에 집중한다","4694.190~4735.940"
"V9_14","CAL_C","평가와 엔딩","keep","분석과 리액션이 분리","광원 강점→공간 한계→불켜줘→긴장 자백","평가 직후 캐릭터 아이러니로 메시지를 감정에 붙인다","4581.940~4923.940 선별"
