evidence_id,source_id,source_start,source_end,frame_asset_ids,event_type,audience_interest,planning_opportunity,screen_evidence,subtitle_evidence,audio_evidence,context_needed,hook_potential,risk,decision
"E01","backrooms_20260630","34.499","125.320","review_C01_sheet;review_C01_audio;backrooms_20260630_t0000034300_w1024;backrooms_20260630_t0000042600_w512;backrooms_20260630_t0000117500_w512","매체 관심·촬영 동기","드라마 백룸·리미널 스페이스에서 게임으로 이어지는 관심","영상의 출발 이유를 설명할 수 있으나 설명 전체를 보존할 근거는 아님","브라우저의 백룸 이미지와 데스크톱·게임 준비 화면이 이어지지만 긴 발화 대부분은 정적인 화면","영화 백룸 시청 뒤 원작·게임·리미널 스페이스가 궁금해졌다고 직접 말함","VAD 전수 인덱스와 등록 오디오 클립 존재; 실제 청취 미실시","앞의 인사와 뒤의 게임 준비 중 필요한 문장만 기획에서 선택","낮음","화면 정보량이 낮고 90초 가까운 설명을 그대로 쓰면 진입이 늦어짐","핵심 근거(시청자 관심·동기), 화면 핵심 장면으로 사용 금지"
"E02","backrooms_20260630","314.940","448.320","backrooms_20260630_t0000314950_w512;backrooms_20260630_t0000315000_w1024;backrooms_20260630_t0000330000_w1024;backrooms_20260630_t0000342000_w1024;backrooms_20260630_t0000347500_w512;backrooms_20260630_t0000409000_w1024;backrooms_20260630_t0000433000_w1024;backrooms_20260630_t0000446000_w1024","게임 진입·첫 공간 체험","영화의 도입 장면 연상과 리미널 공간의 첫 체감","매체 관심을 설명이 아니라 진입 화면과 첫 반응으로 연결할 수 있음","게임 로비→VHS형 전환→노란 기둥 공간→긴 빈 복도가 시간순으로 확인됨","영화 처음 시작할 때 장면 같다는 말과 커다란 공간에 아무도 없다는 소름 반응","원본 SRT와 VAD 인덱스 사용; 실제 효과음 청취 미실시","진입 전 로비와 진입 후 빈 공간 반응을 함께 보존","중간","347초 이후 장황한 설정·사운드 조정은 축소 필요","핵심 근거"
"E03","backrooms_20260630","900.801","921.280","backrooms_20260630_t0000901000_w1024;backrooms_20260630_t0000910000_w1024","반복 공간·방향 상실","리미널 스페이스의 유사 구조와 길 잃음","반복 구조를 말로 주입하지 않고 화면과 짧은 반응으로 보여줄 수 있음","비슷한 노란 벽·기둥·통로 구도가 연속 확인됨","맵이 다 똑같이 생겨 구분이 안 되고 이런 데서 깨면 어떨지 말함","원본 SRT와 VAD 인덱스 사용; 실제 청취 미실시","앞선 탐색 누적은 필요하나 반복 전체 보존은 불필요","낮음","정지 프레임만으로 실제 동선의 동일성까지 단정할 수 없음","핵심 근거"
"E04","backrooms_20260630","1042.724","1101.380","backrooms_20260630_t0001043000_w1024;backrooms_20260630_t0001094000_w1024","보이지 않는 소리·예기불안","빈 공간의 환경음과 미지의 존재","소리 때문에 빈 공간을 위협으로 읽는 반응 후보","어두운 빈 통로와 좁은 입구는 보이지만 소리의 발생원은 화면에 없음","괴물 숨소리라도 내주면 피할 수 있겠다는 말과 전자레인지 같은 소리가 싫다는 반응","오디오 클립 범위 밖이며 실제 청취 미실시; 자막만으로 소리 종류·크기·인과 확정 금지","직전 탐색과 직후 반응 필요","중간","핵심이 음향인데 실제 청취가 없고 발생원·인과가 불명확","재검증"
"E05","backrooms_20260630","1158.539","1175.300","review_C06_sheet;review_C06_audio","영화 관람과 게임 체험의 거리 차이","화면 밖 관객에서 공간 안 플레이어로 바뀌는 체감","매체 관심을 김실버의 체험 변화와 연결하는 짧은 비교 근거","반복되는 노란 공간 이동이 보이지만 발화의 의미를 직접 시각화하지는 않음","영화라서 평온하게 봤지만 이 세계 안에 들어오면 평온할 수 없다고 직접 말함","등록 오디오 클립과 VAD 인덱스 존재; 실제 청취 미실시","직전 공포 반응과 함께 사용해야 의미가 성립","중간","설명 대사가 길어지면 또 다른 논지 주입으로 느껴질 수 있음","보조 근거"
"E06","backrooms_20260630","1254.389","1352.540","backrooms_20260630_t0001329500_w512;backrooms_20260630_t0001330000_w1024;backrooms_20260630_t0001332000_w512;backrooms_20260630_t0001340000_w1024","허세 붕괴·방향 학습","겁 많은 진행자의 체험과 공간 학습","캐릭터 변화와 리미널 공간의 혼란을 같은 사건 묶음으로 제시 가능","서로 비슷한 기둥·통로 구도가 확인되어 방향 혼란 발화를 받쳐줌","영화로 볼 때 별거 아니라 했지만 실제로는 떨리고, 이후 방 구조가 머리에 들어오기 시작했다고 말함","원본 SRT와 VAD 인덱스 사용; 얼굴 화면이 없어 신체 떨림은 발화 주장으로만 취급","허세→공포→부분 학습 순서를 보존","낮음","신체 떨림 자체는 화면에서 확인되지 않음","핵심 근거"
"E07","backrooms_20260630","2084.739","2263.940","review_C09_sheet;review_C09_audio;backrooms_20260630_t0002084800_w1024;backrooms_20260630_t0002086000_w1024;backrooms_20260630_t0002088000_w1024;backrooms_20260630_t0002090000_w1024;backrooms_20260630_t0002092000_w1024;backrooms_20260630_t0002094000_w1024;backrooms_20260630_t0002096000_w1024;backrooms_20260630_t0002097000_w1024;backrooms_20260630_t0002121000_w1024;backrooms_20260630_t0002188000_w1024;backrooms_20260630_t0002190000_w1024;backrooms_20260630_t0002192000_w1024;backrooms_20260630_t0002193500_w1024;backrooms_20260630_t0002194000_w1024;backrooms_20260630_t0002196000_w1024;backrooms_20260630_t0002198000_w1024;backrooms_20260630_t0002201000_w1024;backrooms_20260630_t0002214000_w1024;backrooms_20260630_t0002225000_w1024;backrooms_20260630_t0002245000_w1024;backrooms_20260630_t0002260000_w1024","조우 주장·도주·막힘·탄원·은신","엔티티 추격과 김실버의 공포 코미디","실제 재생 확인 후에만 미니 사건·훅 또는 추격 마이크로비트 후보로 승격 가능","빠른 회전과 이동, 빈 주차장, 막다른 벽, 문 진입은 보이나 추출 프레임에서 엔티티는 선명하게 확인되지 않음","봤다·따라온다·막다른 곳이다·착하게 살겠다는 발화와 문을 열고 오지 않는다는 결과가 이어짐","등록 오디오 클립과 VAD 인덱스 존재; 실제 청취 미실시","발견→도주→막힘→탄원→문 안 안전의 연속 맥락 필요","높음(조건부)","프레임 표본만으로 추격 대상과 정확한 타이밍을 확정할 수 없음","재검증(실제 AV 재생 전 핵심 승격 금지)"
"E08","backrooms_20260630","2294.652","2602.940","review_C10_sheet;review_C10_audio","문 규칙 발견·실험·공포 이완","엔티티 규칙을 몸으로 배우는 플레이와 공포 직후 코미디","긴 구간 전체가 아니라 문 차단·시선·빼꼼 실험을 각각 짧은 사건 단위로 기획 가능","주차장 문과 환기구 주변 이동·문 안팎 전환이 확인됨","문을 닫으면 못 들어오고 빼꼼은 인식하지 못한다는 가설을 여러 번 시험하며 익숙해졌다고 말함","등록 오디오 클립과 VAD 인덱스 존재; 실제 청취 미실시","각 실험의 질문·행동·결과를 함께 보존","중간","5분 구간을 통째로 보존하면 반복·저정보 플레이가 많음; 일부 규칙은 플레이어 추정","핵심 사건군(세부 비트는 기획·편집 전 재생 확인)"
"E09","backrooms_20260630","2665.140","2720.723","backrooms_20260630_t0002666000_w1024;backrooms_20260630_t0002682000_w1024;backrooms_20260630_t0002705000_w1024","백룸·리미널 관심 직접 진술","드라마 백룸·모시계단·엔티티·리미널 스페이스를 더 알고 싶은 시청자 관심","DATA-001의 직접 발화 근거지만 관련 공간 화면과 결합하지 않으면 설명 주입이 됨","프레임은 주차장 이동 중심이라 발화의 백룸·리미널 내용을 시각적으로 받치지 못함","영화 뒤 내용을 찾아보며 모시계단·엔티티·리미널 스페이스를 알게 되었고 실제 안에서의 느낌이 궁금해 게임까지 했다고 말함","원본 SRT와 VAD 인덱스 사용; 실제 청취 미실시","한두 문장 의미 단위만 선택 가능","낮음","중요한 말과 관련 없는 화면의 대표 충돌 구간","핵심 근거(관심), 화면 근거로 사용 금지"
"E10","backrooms_20260630","3422.890","3549.940","review_C15_sheet;review_C15_audio;backrooms_20260630_t0003423000_w1024;backrooms_20260630_t0003503000_w1024;backrooms_20260630_t0003516000_w1024;backrooms_20260630_t0003528000_w1024;backrooms_20260630_t0003545000_w1024","암흑·전원·조명·관찰창","빛이 공간 인식과 세계 해석을 바꾸는 장면","환경 요소가 단순 장식이 아니라 행동과 해석을 바꾸는 근거","손전등만 보이는 어두운 사무공간→경고창→전원 관리 UI→밝아진 노란 공간과 관찰창이 확인됨","어두운 공간을 싫어한다고 말하고 전원을 켠 뒤 회사 건물에서 백룸을 관찰한 것 같다고 추정함","등록 오디오 클립과 VAD 인덱스 존재; 실제 청취 미실시","어둠의 불편→전원 발견→밝아짐 순서를 보존","중간","관찰 시설이라는 결론은 진행자의 추정이며 게임 설정 사실로 단정 금지","핵심 근거(빛 전환), 보조 근거(세계관 추정)"
