"change_id","target","action","before","after","reason","evidence"
"V8_01","전체","기존 스파인 폐기·전면 재작성","v7 공포→적응 중심 88컷","v8 백룸·리미널 공간→빛·소리→구현 평가 중심","사용자 지시에 따라 백룸 팬의 관심을 주축으로 변경","v8 5단계 기획서·6단계 후보 지도"
"V8_02","HOOK","콜드오픈 재설계","인간형 엔티티 비명","방향 없는 소리→심리 평가→평범한 방인데 불 요청","영상의 새 질문을 첫 30초 안에 약속","4233.74~4248.94, 4364.04~4369.94, 4604.74~4611.94"
"V8_03","B01~B04","영화·리미널 기대와 공간 진입 강화","인물 셋업·사운드 공포","영화 시청→리미널 궁금증→영화 같은 진입→큰 빈 공간","백룸 팬의 유입 이유와 첫 화면 보상 연결","SRT 42.535~445.920, 신규 원본 프레임"
"V8_04","B05~B06","반복 구조·소리 메커니즘 추가","v7에서 대부분 미선정","똑같은 맵·위치 불명 위협·환경음","괴물 이전에 공간과 소리가 공포를 만드는 근거","SRT 900.801~1101.380"
"V8_05","B07~B09","체험과 분석 연결","영화 거리 붕괴·신체 공포","영화 거리 붕괴→신체 증거→공간감각 분석","리액션을 백룸 작동 방식의 증거로 재배치","SRT 1106.410~1346.020"
"V8_06","B10~B11","대표 사건 1개와 규칙 학습만 유지","다수 추격·공포 반복","완결형 추격 1개→문·관찰 규칙","재미와 게임 체험은 보존하되 중심을 빼앗지 않음","C09~C11 원본 자산"
"V8_07","B12","백룸·리미널 중간 회고 신설","v7 미선정","모시계단·엔티티·리미널 관심과 실제 느낌 질문","시청자 관심축을 본문 중간에서 명시적으로 회수","SRT 2665.140~2720.723"
"V8_08","B13~B14","광원 전후·관찰시설 단서 신설","v7 코미디 이완만 유지","암흑→전원 UI→환한 관찰창→회사 세계관","게임이 백룸을 구현하는 방법을 화면으로 보여줌","SRT 3422.890~3549.940, 신규 원본 프레임"
"V8_09","B15","적응을 반복의 한계로 강등","v7 메시지 결론","엔티티는 익숙해져도 헤맴과 공포는 남음","적응을 주제가 아닌 체험 변화로 사용","SRT 4271.015~4353.940"
"V8_10","B16","공간 재현 반례 신설","v7 미선정","광원 강점과 영화식 기괴한 공간감의 약점","긍정 일변도의 거짓 평가를 방지","SRT 4581.940~4603.940"
"V8_11","B17","소리 기능 재해석 신설","v7 미선정","공포음 오해→장소 개방 신호 이해","소리 축에 발견과 결론을 부여","SRT 4694.190~4735.940"
"V8_12","B18","백룸 체험 종료로 재정의","공포 부정·퇴장","체험 정리→종료→긴장 자백","캐릭터 아이러니를 보조 결말로 유지","SRT 4790.340~4923.940"
