section,mode,waive,justification
GLOBAL,global,,
HOOK,hook,,
B01,radio,,
B02,breath,,
B03,breath,AVG_LONG,백룸으로 진입하는 영화식 전환은 이동·추락·첫 공간 도착까지 하나의 연속 사건이다. 중간을 자르면 진입 감각과 원인-결과가 끊기므로 32.66초를 보존한다.
B04,breath,AVG_LONG,첫 빈 공간에서 느끼는 규모와 무인성은 각각 완결 발화와 공간 관찰로 구성된다. 발화 중간 컷을 피하고 빈 공간을 체감할 시간을 남기기 위해 두 컷을 보존한다.
B05,breath,,
B06,breath,,
B07,breath,AVG_LONG,첫 실질 추격은 인사 도중 이상 징후부터 비명과 도주까지 이어지는 연속 사건이다. 사건 중간을 압축하면 영화와 직접 체험의 차이라는 핵심 증거가 약해져 전체 흐름을 보존한다.
B08,breath,,
B09,breath,,
B10,breath,,
B11,radio,,
B12,radio,,
B13,radio,,
B14,radio,,
B15,radio,,
B16,radio,,
B17,radio,,
B18,radio,,
